time,bid_price,ask_price,bid_size,ask_size,seq_num
2021-08-03 02:20:18.022798 UTC,229.46,229.5,1000,1000,1627942268920661167
2021-08-03 02:20:53.497085 UTC,229.46,229.58,1000,1000,1627942268920661168
2021-08-03 02:20:53.497104 UTC,229.46,229.49,1000,1000,1627942268920661169
2021-08-03 02:21:11.047807 UTC,229.46,229.4,1000,300,1627942268920661172
2021-08-03 02:21:21.04538 UTC,229.46,229.49,1000,1000,1627942268920661173
2021-08-03 02:21:30.994809 UTC,229.46,229.4,1000,300,1627942268920661178
2021-08-03 02:21:36.763304 UTC,229.46,229.49,1000,1000,1627942268920661179
2021-08-03 02:21:41.973076 UTC,229.46,229.4,1000,300,1627942268920661180
2021-08-03 02:21:47.935731 UTC,229.46,229.49,1000,1000,1627942268920661189
2021-08-03 02:21:47.9362 UTC,229.46,229.48,1000,1000,1627942268920661193
2021-08-03 02:21:47.936199 UTC,229.46,229.49,1000,1000,1627942268920661192
2021-08-03 02:21:48.150168 UTC,229.46,229.47,1000,1000,1627942268920661197
2021-08-03 02:21:49.376919 UTC,229.46,229.49,1000,1000,1627942268920661202
2021-08-03 02:21:49.376938 UTC,229.46,229.48,1000,1000,1627942268920661203
2021-08-03 02:21:58.036338 UTC,229.46,229.49,1000,1000,1627942268920661204
2021-08-03 02:21:58.036371 UTC,229.46,229.47,1000,1000,1627942268920661205
2021-08-03 02:21:58.592799 UTC,229.46,229.49,1000,1000,1627942268920661208
2021-08-03 02:21:58.59282 UTC,229.46,229.48,1000,1000,1627942268920661209
2021-08-03 02:22:06.717477 UTC,229.46,229.4,1000,300,1627942268920661210
2021-08-03 02:22:07.101668 UTC,229.46,229.48,1000,1000,1627942268920661211
2021-08-03 02:22:07.456291 UTC,229.46,229.49,1000,1000,1627942268920661212
2021-08-03 02:22:07.456321 UTC,229.46,229.47,1000,1000,1627942268920661213
2021-08-03 02:22:13.731502 UTC,229.46,229.49,1000,1000,1627942268920661216
2021-08-03 02:22:13.73152 UTC,229.46,229.48,1000,1000,1627942268920661217
2021-08-03 02:22:33.912916 UTC,229.46,229.4,1000,300,1627942268920661220
2021-08-03 02:22:34.4514 UTC,229.46,229.48,1000,1000,1627942268920661221
2021-08-03 02:22:34.758522 UTC,229.46,229.4,1000,300,1627942268920661222
2021-08-03 02:22:34.936487 UTC,229.46,229.48,1000,1000,1627942268920661223
2021-08-03 02:22:58.532689 UTC,229.46,229.4,1000,300,1627942268920661230
2021-08-03 02:23:24.292494 UTC,229.46,229.48,1000,1000,1627942268920661235
2021-08-03 02:23:29.295647 UTC,229.46,229.47,1000,1000,1627942268920661240
2021-08-03 02:23:29.295605 UTC,229.46,229.48,1000,1000,1627942268920661239
2021-08-03 02:23:29.397326 UTC,229.46,229.4,1000,300,1627942268920661243
2021-08-03 02:23:29.823205 UTC,229.46,229.48,1000,1000,1627942268920661244
2021-08-03 02:23:29.823578 UTC,229.46,229.49,1000,1000,1627942268920661245
2021-08-03 02:23:29.823915 UTC,229.46,229.47,1000,1000,1627942268920661248
2021-08-03 02:23:33.15465 UTC,229.46,229.4,1000,300,1627942268920661250
2021-08-03 02:23:33.961054 UTC,229.46,229.47,1000,1000,1627942268920661251
2021-08-03 02:23:34.192214 UTC,229.46,229.4,1000,300,1627942268920661252
2021-08-03 02:23:34.829137 UTC,229.46,229.47,1000,1000,1627942268920661253
2021-08-03 02:23:38.800343 UTC,229.46,229.49,1000,1000,1627942268920661254
2021-08-03 02:23:38.800361 UTC,229.46,229.48,1000,1000,1627942268920661255
2021-08-03 02:23:41.581005 UTC,229.46,229.4,1000,300,1627942268920661258
2021-08-03 02:23:45.8839 UTC,229.46,229.48,1000,1000,1627942268920661259
2021-08-03 02:24:01.68524 UTC,229.46,229.49,1000,1000,1627942268920661260
2021-08-03 02:24:01.686746 UTC,229.46,229.58,1000,1000,1627942268920661265
2021-08-03 02:24:01.68678 UTC,229.46,229.48,1000,1000,1627942268920661266
2021-08-03 02:24:14.508005 UTC,229.46,229.4,1000,300,1627942268920661276
2021-08-03 02:24:15.887191 UTC,229.46,229.48,1000,1000,1627942268920661277
2021-08-03 02:24:19.898788 UTC,229.46,229.4,1000,300,1627942268920661278
2021-08-03 02:24:20.350813 UTC,229.46,229.48,1000,1000,1627942268920661279
2021-08-03 02:25:07.391902 UTC,229.46,229.58,1000,1000,1627942268920661284
2021-08-03 02:25:07.391923 UTC,229.46,229.49,1000,1000,1627942268920661285
2021-08-03 02:25:07.392232 UTC,229.46,229.48,1000,1000,1627942268920661288
2021-08-03 02:25:07.392213 UTC,229.46,229.49,1000,1000,1627942268920661287
2021-08-03 02:25:24.380759 UTC,229.46,229.4,1000,300,1627942268920661294
2021-08-03 02:25:28.210276 UTC,229.46,229.49,1000,1000,1627942268920661295
2021-08-03 02:26:39.394609 UTC,229.46,229.4,1000,300,1627942268920661310
2021-08-03 02:27:03.549623 UTC,229.46,229.58,1000,1000,1627942268920661315
2021-08-03 02:27:06.605779 UTC,229.46,229.48,1000,1000,1627942268920661317
2021-08-03 02:27:06.706838 UTC,229.46,229.4,1000,300,1627942268920661319
2021-08-03 02:27:07.729974 UTC,229.46,229.48,1000,1000,1627942268920661320
2021-08-03 02:27:10.90566 UTC,229.46,229.4,1000,300,1627942268920661322
2021-08-03 02:27:11.346312 UTC,229.46,229.4,1000,600,1627942268920661324
2021-08-03 02:27:12.576973 UTC,229.46,229.4,1000,300,1627942268920661325
2021-08-03 02:27:19.949981 UTC,229.46,229.4,1000,600,1627942268920661326
2021-08-03 02:27:36.574107 UTC,229.46,229.4,1000,300,1627942268920661331
2021-08-03 02:27:36.873004 UTC,229.46,229.4,1000,600,1627942268920661336
2021-08-03 02:30:37.919547 UTC,229.46,229.4,1000,300,1627942268920661390
2021-08-03 02:30:37.919446 UTC,229.46,229.4,1000,1300,1627942268920661389
2021-08-03 02:30:37.920018 UTC,229.46,229.4,1000,300,1627942268920661392
2021-08-03 02:30:38.020781 UTC,229.46,229.4,1000,600,1627942268920661399
2021-08-03 02:30:38.286044 UTC,229.46,229.4,1000,1600,1627942268920661406
2021-08-03 02:30:38.498475 UTC,229.46,229.4,1000,600,1627942268920661413
2021-08-03 02:30:39.177316 UTC,229.46,229.4,1000,1600,1627942268920661420
2021-08-03 02:30:39.338337 UTC,229.46,229.4,1000,600,1627942268920661421
2021-08-03 02:30:41.807537 UTC,229.46,229.4,1000,1600,1627942268920661424
2021-08-03 02:30:46.715302 UTC,229.46,229.4,1000,1300,1627942268920661430
2021-08-03 02:30:46.815507 UTC,229.46,229.4,1000,1600,1627942268920661432
2021-08-03 02:30:47.0076 UTC,229.46,229.4,1000,600,1627942268920661435
2021-08-03 02:30:47.009032 UTC,229.46,229.4,1000,1600,1627942268920661438
2021-08-03 02:31:02.351376 UTC,229.46,229.4,1000,600,1627942268920661439
2021-08-03 02:31:02.451818 UTC,229.46,229.4,1000,900,1627942268920661442
2021-08-03 02:31:02.351507 UTC,229.46,229.4,1000,600,1627942268920661441
2021-08-03 02:31:02.594561 UTC,229.46,229.4,1000,1600,1627942268920661444
2021-08-03 02:31:15.201243 UTC,229.46,229.4,1000,600,1627942268920661445
2021-08-03 02:31:15.201375 UTC,229.46,229.4,1000,300,1627942268920661447
2021-08-03 02:31:15.302109 UTC,229.46,229.4,1000,600,1627942268920661448
2021-08-03 02:31:15.302522 UTC,229.46,229.4,1000,1600,1627942268920661450
2021-08-03 02:31:19.703031 UTC,229.46,229.4,1000,600,1627942268920661451
